"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"ATS R1_PathOfTravelShape","44.630308287","-123.103126779",19268,
"ATS R1_PathOfTravelShape","44.630314690","-123.103118267",19269,
"ATS R1_PathOfTravelShape","44.630721922","-123.102576881",19270,
"ATS R1_PathOfTravelShape","44.630692000","-123.102531000",19271,
"ATS R1_PathOfTravelShape","44.630695000","-123.102448000",19272,
"ATS R1_PathOfTravelShape","44.630761169","-123.102386000",19273,
"ATS R1_PathOfTravelShape","44.630806000","-123.102386000",19274,
"ATS R1_PathOfTravelShape","44.630848000","-123.102455000",19275,
"ATS R1_PathOfTravelShape","44.630844000","-123.102539000",19276,
"ATS R1_PathOfTravelShape","44.630841602","-123.102542483",19277,
"ATS R1_PathOfTravelShape","44.630819286","-123.102574894",19278,
"ATS R1_PathOfTravelShape","44.630932462","-123.102782483",19279,
"ATS R1_PathOfTravelShape","44.630952766","-123.102811971",19280,
"ATS R1_PathOfTravelShape","44.630957106","-123.102818643",19281,
"ATS R1_PathOfTravelShape","44.630968580","-123.102836281",19282,
"ATS R1_PathOfTravelShape","44.630970000","-123.102837000",19283,
"ATS R1_PathOfTravelShape","44.631039910","-123.102929296",19284,
"ATS R1_PathOfTravelShape","44.631051386","-123.102944447",19285,
"ATS R1_PathOfTravelShape","44.631075022","-123.102975651",19286,
"ATS R1_PathOfTravelShape","44.631323512","-123.103303710",19287,
"ATS R1_PathOfTravelShape","44.631530620","-123.103559341",19288,
"ATS R1_PathOfTravelShape","44.631592000","-123.103630000",19289,
"ATS R1_PathOfTravelShape","44.636642755","-123.104737228",19290,
"ATS R1_PathOfTravelShape","44.636649675","-123.104738745",19291,
"ATS R1_PathOfTravelShape","44.636650000","-123.104736000",19292,
"ATS R1_PathOfTravelShape","44.637440000","-123.104912000",19293,
"ATS R1_PathOfTravelShape","44.637555862","-123.104970503",19294,
"ATS R1_PathOfTravelShape","44.637612960","-123.104999334",19295,
"ATS R1_PathOfTravelShape","44.638284949","-123.105345411",19296,
"ATS R1_PathOfTravelShape","44.638397709","-123.105407959",19297,
"ATS R1_PathOfTravelShape","44.638627188","-123.105535251",19298,
"ATS R1_PathOfTravelShape","44.638816121","-123.105640053",19299,
"ATS R1_PathOfTravelShape","44.641010000","-123.106857000",19300,
"ATS R1_PathOfTravelShape","44.641255053","-123.107024722",19301,
"ATS R1_PathOfTravelShape","44.641280653","-123.107042244",19302,
"ATS R1_PathOfTravelShape","44.641615058","-123.107332424",19303,
"ATS R1_PathOfTravelShape","44.641701000","-123.107407000",19304,
"ATS R1_PathOfTravelShape","44.641842000","-123.107590000",19305,
"ATS R1_PathOfTravelShape","44.641764505","-123.107682327",19306,
"ATS R1_PathOfTravelShape","44.641842528","-123.107591554",19307,
"ATS R1_PathOfTravelShape","44.641930000","-123.107849000",19308,
"ATS R1_PathOfTravelShape","44.642200000","-123.108490000",19309,
"ATS R1_PathOfTravelShape","44.642319000","-123.108932000",19310,
"ATS R1_PathOfTravelShape","44.642361000","-123.109489000",19311,
"ATS R1_PathOfTravelShape","44.642361000","-123.110062000",19312,
"ATS R1_PathOfTravelShape","44.642044408","-123.113084265",19313,
"ATS R1_PathOfTravelShape","44.642821092","-123.113307143",19314,
"ATS R1_PathOfTravelShape","44.644218000","-123.113708000",19315,
"ATS R1_PathOfTravelShape","44.645618000","-123.114212000",19316,
"ATS R1_PathOfTravelShape","44.647018000","-123.114616000",19317,
"ATS R1_PathOfTravelShape","44.649891000","-123.116081000",19318,
"ATS R1_PathOfTravelShape","44.650398000","-123.116203000",19319,
"ATS R1_PathOfTravelShape","44.652390000","-123.116463000",19320,
"ATS R1_PathOfTravelShape","44.653790000","-123.116524000",19321,
"ATS R1_PathOfTravelShape","44.654228000","-123.116592000",19322,
"ATS R1_PathOfTravelShape","44.654284403","-123.116604402",19323,
"ATS R1_PathOfTravelShape","44.654560959","-123.116665213",19324,
"ATS R1_PathOfTravelShape","44.654751000","-123.116707000",19325,
"ATS R1_PathOfTravelShape","44.655689000","-123.117104000",19326,
"ATS R1_PathOfTravelShape","44.656101000","-123.117119000",19327,
"ATS R1_PathOfTravelShape","44.656528000","-123.117249000",19328,
"ATS R1_PathOfTravelShape","44.656792000","-123.117233000",19329,
"ATS R1_PathOfTravelShape","44.656830000","-123.117157000",19330,
"ATS R1_PathOfTravelShape","44.656921000","-123.117149000",19331,
"ATS R1_PathOfTravelShape","44.656990000","-123.117264000",19332,
"ATS R1_PathOfTravelShape","44.656910000","-123.117798000",19333,
"ATS R1_PathOfTravelShape","44.656958848","-123.131416000",19334,
"ATS R1_PathOfTravelShape","44.656960000","-123.131737000",19335,
"ATS R1_PathOfTravelShape","44.656841000","-123.133728000",19336,
"ATS R1_PathOfTravelShape","44.656840074","-123.133897508",19337,
"ATS R1_PathOfTravelShape","44.656839926","-123.133924707",19338,
"ATS R1_PathOfTravelShape","44.656835484","-123.134737893",19339,
"ATS R1_PathOfTravelShape","44.656744959","-123.134744396",19340,
"ATS R1_PathOfTravelShape","44.656311000","-123.134766000",19341,
"ATS R1_PathOfTravelShape","44.656139000","-123.134666000",19342,
"ATS R1_PathOfTravelShape","44.656029000","-123.134491000",19343,
"ATS R1_PathOfTravelShape","44.656006000","-123.134308000",19344,
"ATS R1_PathOfTravelShape","44.656063000","-123.134193000",19345,
"ATS R1_PathOfTravelShape","44.656155000","-123.134232000",19346,
"ATS R1_PathOfTravelShape","44.656200000","-123.134323000",19347,
"ATS R1_PathOfTravelShape","44.656200000","-123.134453000",19348,
"ATS R1_PathOfTravelShape","44.656189000","-123.134560000",19349,
"ATS R1_PathOfTravelShape","44.656185285","-123.134630584",19350,
"ATS R1_PathOfTravelShape","44.656186340","-123.134693523",19351,
"ATS R1_PathOfTravelShape","44.656311000","-123.134766000",19352,
"ATS R1_PathOfTravelShape","44.656752364","-123.134744027",19353,
"ATS R1_PathOfTravelShape","44.656835464","-123.134741504",19354,
"ATS R1_PathOfTravelShape","44.656840613","-123.133798756",19355,
"ATS R1_PathOfTravelShape","44.656881096","-123.133057155",19356,
"ATS R1_PathOfTravelShape","44.656960000","-123.131737000",19357,
"ATS R1_PathOfTravelShape","44.656958848","-123.131416000",19358,
"ATS R1_PathOfTravelShape","44.656910000","-123.117798000",19359,
"ATS R1_PathOfTravelShape","44.656860000","-123.117447000",19360,
"ATS R1_PathOfTravelShape","44.656780000","-123.117363000",19361,
"ATS R1_PathOfTravelShape","44.656528000","-123.117249000",19362,
"ATS R1_PathOfTravelShape","44.656101000","-123.117119000",19363,
"ATS R1_PathOfTravelShape","44.655689000","-123.117104000",19364,
"ATS R1_PathOfTravelShape","44.654560959","-123.116665213",19365,
"ATS R1_PathOfTravelShape","44.654284403","-123.116604402",19366,
"ATS R1_PathOfTravelShape","44.653790000","-123.116524000",19367,
"ATS R1_PathOfTravelShape","44.652390000","-123.116463000",19368,
"ATS R1_PathOfTravelShape","44.650398000","-123.116203000",19369,
"ATS R1_PathOfTravelShape","44.649891000","-123.116081000",19370,
"ATS R1_PathOfTravelShape","44.647018000","-123.114616000",19371,
"ATS R1_PathOfTravelShape","44.645618000","-123.114212000",19372,
"ATS R1_PathOfTravelShape","44.644218000","-123.113708000",19373,
"ATS R1_PathOfTravelShape","44.643860000","-123.106140000",19374,
"ATS R1_PathOfTravelShape","44.643841000","-123.105911000",19375,
"ATS R1_PathOfTravelShape","44.643791000","-123.105782000",19376,
"ATS R1_PathOfTravelShape","44.643663224","-123.105869240",19377,
"ATS R1_PathOfTravelShape","44.643211000","-123.106178000",19378,
"ATS R1_PathOfTravelShape","44.642559000","-123.106758000",19379,
"ATS R1_PathOfTravelShape","44.641842528","-123.107591554",19380,
"ATS R1_PathOfTravelShape","44.641739000","-123.107712000",19381,
"ATS R1_PathOfTravelShape","44.641201000","-123.107178000",19382,
"ATS R1_PathOfTravelShape","44.640808000","-123.106956000",19383,
"ATS R1_PathOfTravelShape","44.636501000","-123.106010000",19384,
"ATS R1_PathOfTravelShape","44.636642755","-123.104737228",19385,
"ATS R1_PathOfTravelShape","44.637609347","-123.096058487",19386,
"ATS R1_PathOfTravelShape","44.637666521","-123.095545138",19387,
"ATS R1_PathOfTravelShape","44.638050000","-123.092102000",19388,
"ATS R1_PathOfTravelShape","44.637539000","-123.091988000",19389,
"ATS R1_PathOfTravelShape","44.637772000","-123.088173000",19390,
"ATS R1_PathOfTravelShape","44.637909000","-123.086571000",19391,
"ATS R1_PathOfTravelShape","44.638569000","-123.082443000",19392,
"ATS R1_PathOfTravelShape","44.639370000","-123.076370000",19393,
"ATS R1_PathOfTravelShape","44.639530000","-123.075401000",19394,
"ATS R1_PathOfTravelShape","44.639931000","-123.073479000",19395,
"ATS R1_PathOfTravelShape","44.636059000","-123.073303000",19396,
"ATS R1_PathOfTravelShape","44.632240000","-123.073196000",19397,
"ATS R1_PathOfTravelShape","44.628308878","-123.073166755",19398,
"ATS R1_PathOfTravelShape","44.625870000","-123.073051000",19399,
"ATS R1_PathOfTravelShape","44.625740000","-123.072960000",19400,
"ATS R1_PathOfTravelShape","44.615292000","-123.072609000",19401,
"ATS R1_PathOfTravelShape","44.614990000","-123.072617000",19402,
"ATS R1_PathOfTravelShape","44.614681000","-123.072701000",19403,
"ATS R1_PathOfTravelShape","44.613831000","-123.073212000",19404,
"ATS R1_PathOfTravelShape","44.613491000","-123.073303000",19405,
"ATS R1_PathOfTravelShape","44.612640000","-123.073227000",19406,
"ATS R1_PathOfTravelShape","44.610409000","-123.073273000",19407,
"ATS R1_PathOfTravelShape","44.610390000","-123.082680000",19408,
"ATS R1_PathOfTravelShape","44.610291050","-123.090084282",19409,
"ATS R1_PathOfTravelShape","44.612598375","-123.090153536",19410,
"ATS R1_PathOfTravelShape","44.614868000","-123.090218000",19411,
"ATS R1_PathOfTravelShape","44.616127254","-123.090259455",19412,
"ATS R1_PathOfTravelShape","44.625141000","-123.090530000",19413,
"ATS R1_PathOfTravelShape","44.625887295","-123.090694101",19414,
"ATS R1_PathOfTravelShape","44.626214135","-123.090765969",19415,
"ATS R1_PathOfTravelShape","44.632437277","-123.092134362",19416,
"ATS R1_PathOfTravelShape","44.633173614","-123.092296274",19417,
"ATS R1_PathOfTravelShape","44.633030000","-123.093567000",19418,
"ATS R1_PathOfTravelShape","44.632790000","-123.096199000",19419,
"ATS R1_PathOfTravelShape","44.632641000","-123.097122000",19420,
"ATS R1_PathOfTravelShape","44.632469000","-123.098747000",19421,
"ATS R1_PathOfTravelShape","44.632339600","-123.099721171",19422,
"ATS R1_PathOfTravelShape","44.632370000","-123.099983000",19423,
"ATS R1_PathOfTravelShape","44.632191000","-123.100990000",19424,
"ATS R1_PathOfTravelShape","44.632019000","-123.101540000",19425,
"ATS R1_PathOfTravelShape","44.631451000","-123.103050000",19426,
"ATS R1_PathOfTravelShape","44.631420000","-123.103432000",19427,
"ATS R1_PathOfTravelShape","44.631592000","-123.103630000",19428,
"ATS R1_PathOfTravelShape","44.631596966","-123.103631089",19429,
"ATS R1_PathOfTravelShape","44.631906498","-123.103698944",19430,
"ATS R1_PathOfTravelShape","44.634673743","-123.104305580",19431,
"ATS R1_PathOfTravelShape","44.634682560","-123.104307513",19432,
"ATS R1_PathOfTravelShape","44.635061378","-123.104390558",19433,
"ATS R1_PathOfTravelShape","44.635054034","-123.104435218",19434,
"ATS R1_PathOfTravelShape","44.635000113","-123.104893642",19435,
"ATS R1_PathOfTravelShape","44.634961822","-123.105219176",19436,
"ATS R1_PathOfTravelShape","44.634908770","-123.105670209",19437,
"ATS R1_PathOfTravelShape","44.634918800","-123.105672395",19438,
"ATS R1_PathOfTravelShape","44.634776999","-123.106921346",19439,
"ATS R1_PathOfTravelShape","44.636349576","-123.107272140",19440,
"ATS R1_PathOfTravelShape","44.637909000","-123.107620000",19441,
"ATS R1_PathOfTravelShape","44.637699000","-123.109512000",19442,
"ATS R1_PathOfTravelShape","44.637489000","-123.110161000",19443,
"ATS R1_PathOfTravelShape","44.632657052","-123.109067297",19444,
"ATS R1_PathOfTravelShape","44.632129597","-123.108951647",19445,
"ATS R1_PathOfTravelShape","44.631458000","-123.115028000",19446,
"ATS R1_PathOfTravelShape","44.629452000","-123.114601000",19447,
"ATS R1_PathOfTravelShape","44.628992739","-123.114472120",19448,
"ATS R1_PathOfTravelShape","44.627590000","-123.114159000",19449,
"ATS R1_PathOfTravelShape","44.626560000","-123.114052000",19450,
"ATS R1_PathOfTravelShape","44.618679000","-123.113892000",19451,
"ATS R1_PathOfTravelShape","44.618671000","-123.113693000",19452,
"ATS R1_PathOfTravelShape","44.618561000","-123.113190000",19453,
"ATS R1_PathOfTravelShape","44.618172000","-123.113342000",19454,
"ATS R1_PathOfTravelShape","44.617693532","-123.113494560",19455,
"ATS R1_PathOfTravelShape","44.617321000","-123.113602000",19456,
"ATS R1_PathOfTravelShape","44.616440000","-123.113762000",19457,
"ATS R1_PathOfTravelShape","44.615570000","-123.113823000",19458,
"ATS R1_PathOfTravelShape","44.613148244","-123.113762464",19459,
"ATS R1_PathOfTravelShape","44.612812617","-123.113754074",19460,
"ATS R1_PathOfTravelShape","44.612429177","-123.113744489",19461,
"ATS R1_PathOfTravelShape","44.613177270","-123.113763190",19462,
"ATS R1_PathOfTravelShape","44.615570000","-123.113823000",19463,
"ATS R1_PathOfTravelShape","44.616440000","-123.113762000",19464,
"ATS R1_PathOfTravelShape","44.617321000","-123.113602000",19465,
"ATS R1_PathOfTravelShape","44.618011000","-123.113403000",19466,
"ATS R1_PathOfTravelShape","44.618894916","-123.113029692",19467,
"ATS R1_PathOfTravelShape","44.619202000","-123.112900000",19468,
"ATS R1_PathOfTravelShape","44.619961000","-123.112457000",19469,
"ATS R1_PathOfTravelShape","44.620930000","-123.111748000",19470,
"ATS R1_PathOfTravelShape","44.623562000","-123.109619000",19471,
"ATS R1_PathOfTravelShape","44.624521806","-123.108828363",19472,
"ATS R1_PathOfTravelShape","44.625113670","-123.108340816",19473,
"ATS R1_PathOfTravelShape","44.625171635","-123.108293067",19474,
"ATS R1_PathOfTravelShape","44.625330534","-123.108162175",19475,
"ATS R1_PathOfTravelShape","44.625893749","-123.107698228",19476,
"ATS R1_PathOfTravelShape","44.625972257","-123.107633558",19477,
"ATS R1_PathOfTravelShape","44.625981103","-123.107626271",19478,
"ATS R1_PathOfTravelShape","44.626322466","-123.107345074",19479,
"ATS R1_PathOfTravelShape","44.626374746","-123.107302008",19480,
"ATS R1_PathOfTravelShape","44.626405731","-123.107276484",19481,
"ATS R1_PathOfTravelShape","44.626608872","-123.107109147",19482,
"ATS R1_PathOfTravelShape","44.626704928","-123.107030022",19483,
"ATS R1_PathOfTravelShape","44.627322323","-123.106521443",19484,
"ATS R1_PathOfTravelShape","44.627430452","-123.106432373",19485,
"ATS R1_PathOfTravelShape","44.627475362","-123.106395379",19486,
"ATS R1_PathOfTravelShape","44.627522564","-123.106356496",19487,
"ATS R1_PathOfTravelShape","44.627850550","-123.106086318",19488,
"ATS R1_PathOfTravelShape","44.627934021","-123.106017559",19489,
"ATS R1_PathOfTravelShape","44.628065598","-123.105909173",19490,
"ATS R1_PathOfTravelShape","44.628146865","-123.105842229",19491,
"ATS R1_PathOfTravelShape","44.628402902","-123.105631320",19492,
"ATS R1_PathOfTravelShape","44.628284172","-123.105335204",19493,
"ATS R1_PathOfTravelShape","44.628254000","-123.105354000",19494,
"ATS R1_PathOfTravelShape","44.628227588","-123.105344654",19495,
"ATS R1_PathOfTravelShape","44.628189000","-123.105331000",19496,
"ATS R1_PathOfTravelShape","44.628159000","-123.105255000",19497,
"ATS R1_PathOfTravelShape","44.628174000","-123.105164000",19498,
"ATS R1_PathOfTravelShape","44.628214329","-123.105131454",19499,
"ATS R1_PathOfTravelShape","44.628372000","-123.104950000",19500,
"ATS R1_PathOfTravelShape","44.628443236","-123.104921802",19501,
"ATS R1_PathOfTravelShape","44.628473995","-123.104898174",19502,
"ATS R1_PathOfTravelShape","44.628883000","-123.104584000",19503,
"ATS R1_PathOfTravelShape","44.629021000","-123.104515000",19504,
"ATS R1_PathOfTravelShape","44.629112000","-123.104492000",19505,
"ATS R1_PathOfTravelShape","44.629185000","-123.104454000",19506,
"ATS R1_PathOfTravelShape","44.629250000","-123.104401000",19507,
"ATS R1_PathOfTravelShape","44.629659025","-123.103950409",19508,
"ATS R1_PathOfTravelShape","44.629768802","-123.103829477",19509,
"ATS R1_PathOfTravelShape","44.629809239","-123.103784931",19510,
"ATS R1_PathOfTravelShape","44.629812815","-123.103780992",19511,
"ATS R1_PathOfTravelShape","44.629868097","-123.103720092",19512,
"ATS R1_PathOfTravelShape","44.629929000","-123.103653000",19513,
"ATS R1_PathOfTravelShape","44.629996015","-123.103574202",19514,
"ATS R1_PathOfTravelShape","44.630003185","-123.103565772",19515,
"ATS R1_PathOfTravelShape","44.630019705","-123.103546346",19516,
"ATS R1_PathOfTravelShape","44.630020000","-123.103546000",19517,
"ATS R1_PathOfTravelShape","44.630096000","-123.103409000",19518,
"ATS R1_PathOfTravelShape","44.630308287","-123.103126779",19519,
"ATS R1_PathOfTravelShape","44.630308287","-123.103126779",19520,
"ATS R1_PathOfTravelShape","44.630314690","-123.103118267",19521,
"ATS R1_PathOfTravelShape","44.630498896","-123.102873379",19522,
"ATS R1_PathOfTravelShape","44.630721922","-123.102576881",19523,
"ATS R1_PathOfTravelShape","44.630498896","-123.102873379",19524,
"ATS R1_PathOfTravelShape","44.630722000","-123.102577000",19525,
"ATS R1_PathOfTravelShape","44.630737000","-123.102600000",19526,
"ATS R1_PathOfTravelShape","44.630802000","-123.102600000",19527,
"ATS R1_PathOfTravelShape","44.630817374","-123.102577671",19528,
"ATS R1_PathOfTravelShape","44.630932000","-123.102783000",19529,
"ATS R1_PathOfTravelShape","44.630943370","-123.102798324",19530,
"ATS R1_PathOfTravelShape","44.630932462","-123.102782483",19531,
"ATS R1_PathOfTravelShape","44.630819286","-123.102574894",19532,
"ATS R1_PathOfTravelShape","44.630817374","-123.102577671",19533,
"ATS R1_PathOfTravelShape","44.630802000","-123.102600000",19534,
"ATS R1_PathOfTravelShape","44.630737000","-123.102600000",19535,
"ATS R1_PathOfTravelShape","44.630722000","-123.102577000",19536,
"ATS R1_PathOfTravelShape","44.630721922","-123.102576881",19537,
"ATS R1_PathOfTravelShape","44.630692000","-123.102531000",19538,
"ATS R1_PathOfTravelShape","44.630695000","-123.102448000",19539,
"ATS R1_PathOfTravelShape","44.630761169","-123.102386000",19540,
"ATS R1_PathOfTravelShape","44.630806000","-123.102386000",19541,
"ATS R1_PathOfTravelShape","44.630848000","-123.102455000",19542,
"ATS R1_PathOfTravelShape","44.630844000","-123.102539000",19543,
"ATS R1_PathOfTravelShape","44.630819286","-123.102574894",19544,
"ATS R1_PathOfTravelShape","44.630932462","-123.102782483",19545,
"ATS R1_PathOfTravelShape","44.630943370","-123.102798324",19546,
"ATS R1_PathOfTravelShape","44.630955000","-123.102814000",19547,
"ATS R1_PathOfTravelShape","44.630959000","-123.102821000",19548,
"ATS R1_PathOfTravelShape","44.630970000","-123.102837000",19549,
"ATS R1_PathOfTravelShape","44.631039000","-123.102928000",19550,
"ATS R1_PathOfTravelShape","44.631050000","-123.102943000",19551,
"ATS R1_PathOfTravelShape","44.631076463","-123.102973383",19552,
"ATS R1_PathOfTravelShape","44.631252000","-123.103203000",19553,
"ATS R1_PathOfTravelShape","44.631267748","-123.103226279",19554,
"ATS R1_PathOfTravelShape","44.631077000","-123.102974000",19555,
"ATS R1_PathOfTravelShape","44.631076463","-123.102973383",19556,
