"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled"
"ATS_R1_MonTueWedThuFri_0730","07:30:00","07:30:00","AlbanyAmtrakStation",10,,0,0,
"ATS_R1_MonTueWedThuFri_0630","06:30:00","06:30:00","AlbanyAmtrakStation",10,,0,0,
"ATS_R1_MonTueWedThuFri_0730",,,"NorthAlbanyRd_W_JonesAve",20,,0,0,
"ATS_R1_MonTueWedThuFri_0630",,,"NorthAlbanyRd_W_JonesAve",20,,0,0,
"ATS_R1_MonTueWedThuFri_0730",,,"GibsonHillRd_N_GibsonWay",30,,0,0,
"ATS_R1_MonTueWedThuFri_0630",,,"GibsonHillRd_N_GibsonWay",30,,0,0,
"ATS_R1_MonTueWedThuFri_0730","07:40:00","07:40:00","NorthAlbanyFireStation",40,,0,0,
"ATS_R1_MonTueWedThuFri_0630","06:40:00","06:40:00","NorthAlbanyFireStation",40,,0,0,
"ATS_R1_MonTueWedThuFri_0730",,,"NorthAlbanyRd_E_JonesAve",50,,0,0,
"ATS_R1_MonTueWedThuFri_0630",,,"NorthAlbanyRd_E_JonesAve",50,,0,0,
"ATS_R1_MonTueWedThuFri_0730","07:45:00","07:45:00","HickoryAve_S_SpringHillDr",60,,0,0,
"ATS_R1_MonTueWedThuFri_0630","06:45:00","06:45:00","HickoryAve_S_SpringHillDr",60,,0,0,
"ATS_R1_MonTueWedThuFri_0730",,,"2ndAve_S_BakerSt",70,,0,0,
"ATS_R1_MonTueWedThuFri_0630",,,"2ndAve_S_BakerSt",70,,0,0,
"ATS_R1_MonTueWedThuFri_0730",,,"2ndAve_S_ThurstonSt",80,,0,0,
"ATS_R1_MonTueWedThuFri_0630",,,"2ndAve_S_ThurstonSt",80,,0,0,
"ATS_R1_MonTueWedThuFri_0730","07:50:00","07:50:00","SalemAve_S_ShermanSt",90,,0,0,
"ATS_R1_MonTueWedThuFri_0630","06:50:00","06:50:00","SalemAve_S_ShermanSt",90,,0,0,
"ATS_R1_MonTueWedThuFri_0730",,,"SalemAve_S_MasonSt",100,,0,0,
"ATS_R1_MonTueWedThuFri_0630",,,"SalemAve_S_MasonSt",100,,0,0,
"ATS_R1_MonTueWedThuFri_0730",,,"SalemAve_S_ColumbusSt",110,,0,0,
"ATS_R1_MonTueWedThuFri_0630",,,"SalemAve_S_ColumbusSt",110,,0,0,
"ATS_R1_MonTueWedThuFri_0730",,,"SalemAve_S_WaverlyDr",120,,0,0,
"ATS_R1_MonTueWedThuFri_0630",,,"SalemAve_S_WaverlyDr",120,,0,0,
"ATS_R1_MonTueWedThuFri_0730",,,"WaverlyDr_W_PacificBlvd",125,,0,0,
"ATS_R1_MonTueWedThuFri_0630",,,"WaverlyDr_W_PacificBlvd",125,,0,0,
