"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station"
"10thSt_E_BecaAve",,"Highland & Beca",,"44.577330406","-123.262564056",,,0,
"10thSt_E_BuchananAve",,"10th & Buchanan",,"44.576061168","-123.263289933",,,0,
"10thSt_E_DraperPl",,"Highland & Grant",,"44.579153453","-123.262475070",,,0,
"10thSt_W_BecaAve",,"10th & Beca",,"44.577981724","-123.262629636",,,0,
"11thSt_W_FillmoreAve",,"11th & Fillmore",,"44.572781062","-123.266404812",,,0,
"11thSt_W_HarrisonBlvd",,"11th & Harrison",,"44.569194271","-123.268131334",,,0,
"11thSt_W_MonroeAve",,"11th & Monroe",,"44.566714513","-123.269352850",,,0,
"11thSt_W_PierceWay",,"11th & Pierce/Corvallis High School [Shelter]",,"44.574713381","-123.265449749",,,0,
"11thSt_W_TylerAve",,"11th & Tyler",,"44.570225912","-123.267620319",,,0,
"12thAve_N_WashingtonSt",,"12th & Washington",,"44.628338000","-123.107948000",,,0,
"14thAve_N_DavidsonSt",,"14th at Heritage Mall",,"44.628868000","-123.079552000",,,0,
"14thSt_E_JeffersonAve",,"14th & Jefferson/OSU [Shelter]",,"44.565029211","-123.273597394",,,0,
"15thSt_E_JeffersonWay",,"15th & Jefferson/OSU [Shelter]",,"44.563954907","-123.274047463",,,0,
"15thSt_E_WesternBlvd",,"15th & Western",,"44.560375700","-123.274013187",,,0,
"15thSt_W_JeffersonWay",,"15th & Jefferson/OSU [Shelter]",,"44.564159807","-123.274203180",,,0,
"15thSt_W_WashingtonWay",,"15th & A/OSU",,"44.561474470","-123.274381819",,,0,
"24thSt_E_NewtonSt",,"24th & Newton",,"44.540648037","-123.350145403",,,0,
"24thSt_W_NewtonSt",,"24th & Newton",,"44.540491417","-123.350360041",,,0,
"26thSt_E_CampusWay",,"26th & Campus Way",,"44.567011906","-123.279837498",,,0,
"26thSt_E_IntramuralWay",,"Dixon Rec Center/OSU",,"44.563508957","-123.279543050",,,0,
"26thSt_E_JeffersonWay",,"OSU Bookstore - MU",,"44.564856980","-123.279867241",,,0,
"26thSt_E_RalphMillerLn",,"Gill Coliseum/OSU",,"44.560015811","-123.279509999",,,0,
"26thSt_E_WesternBlvd",,"LaSells Stewart Ctr/OSU",,"44.558992785","-123.279450610",,,0,
"26thSt_W_IntramuralWay",,"Dixon Rec Center/OSU",,"44.563386610","-123.279705449",,,0,
"26thSt_W_RalphMillerLn",,"Gill Coliseum/OSU",,"44.560011334","-123.279852557",,,0,
