"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id"
"ATS_R1","MonTueWedThuFri","ATS_R1_MonTueWedThuFri_0630","Route 1 - Morning Express",,,"ATS R1_PathOfTravelShape"
"ATS_R1","MonTueWedThuFri","ATS_R1_MonTueWedThuFri_0730","Route 1 - Morning Express",,,"ATS R1_PathOfTravelShape"
"ATS_R2","MonTueWedThuFri","ATS_R2_MonTueWedThuFri_0900","Route 2 - Mid-Day (Hourly Service)",,,"ATS R2_PathOfTravelShape"
"ATS_R2","MonTueWedThuFri","ATS_R2_MonTueWedThuFri_1000","Route 2 - Mid-Day (Hourly Service)",,,"ATS R2_PathOfTravelShape"
"ATS_R2","MonTueWedThuFri","ATS_R2_MonTueWedThuFri_1100","Route 2 - Mid-Day (Hourly Service)",,,"ATS R2_PathOfTravelShape"
"ATS_R2","MonTueWedThuFri","ATS_R2_MonTueWedThuFri_1200","Route 2 - Mid-Day (Hourly Service)",,,"ATS R2_PathOfTravelShape"
"ATS_R2","MonTueWedThuFri","ATS_R2_MonTueWedThuFri_1300","Route 2 - Mid-Day (Hourly Service)",,,"ATS R2_PathOfTravelShape"
"ATS_R2","MonTueWedThuFri","ATS_R2_MonTueWedThuFri_1400","Route 2 - Mid-Day (Hourly Service)",,,"ATS R2_PathOfTravelShape"
"ATS_R2","MonTueWedThuFri","ATS_R2_MonTueWedThuFri_1500","Route 2 - Mid-Day (Hourly Service)",,,"ATS R2_PathOfTravelShape"
"ATS_R3","MonTueWedThuFri","ATS_R3_MonTueWedThuFri_0900","Route 3 - Mid-Day (Hourly Service)",,,"ATS R3_PathOfTravelShape"
"ATS_R3","MonTueWedThuFri","ATS_R3_MonTueWedThuFri_1000","Route 3 - Mid-Day (Hourly Service)",,,"ATS R3_PathOfTravelShape"
"ATS_R3","MonTueWedThuFri","ATS_R3_MonTueWedThuFri_1100","Route 3 - Mid-Day (Hourly Service)",,,"ATS R3_PathOfTravelShape"
