shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
nbend_all,41.95699,-124.20418,1,0
nbend_all,41.95699,-124.20425,2,0.006
nbend_all,41.96147,-124.20301,3,0.514
nbend_all,41.96296,-124.20272,4,0.682
nbend_all,41.96414,-124.20265,5,0.813
nbend_all,41.96637,-124.20269,6,1.061
nbend_all,41.9796,-124.20323,7,2.533
nbend_all,41.98212,-124.20329,8,2.813
nbend_all,41.98377,-124.20339,9,2.997
nbend_all,41.98411,-124.20349,10,3.036
nbend_all,41.98475,-124.2038,11,3.111
nbend_all,41.98948,-124.20723,12,3.709
nbend_all,41.9901,-124.20754,13,3.782
nbend_all,41.99056,-124.20769,14,3.835
nbend_all,41.99142,-124.20783,15,3.931
nbend_all,41.99457,-124.20795,16,4.282
nbend_all,41.99483,-124.20802,17,4.311
nbend_all,41.99989,-124.2084,18,4.875
nbend_all,42.00064,-124.20852,19,4.959
nbend_all,42.00217,-124.20888,20,5.131
nbend_all,42.00358,-124.20938,21,5.293
nbend_all,42.00461,-124.20983,22,5.414
nbend_all,42.00566,-124.21037,23,5.539
nbend_all,42.00667,-124.21097,24,5.662
nbend_all,42.00838,-124.2122,25,5.877
nbend_all,42.01442,-124.21741,26,6.675
nbend_all,42.01658,-124.21934,27,6.963
nbend_all,42.01804,-124.22091,28,7.171
nbend_all,42.01996,-124.2232,29,7.456
nbend_all,42.02538,-124.22971,30,8.264
nbend_all,42.02575,-124.23021,31,8.322
nbend_all,42.02814,-124.23301,32,8.675
nbend_all,42.03571,-124.24223,33,9.81
nbend_all,42.03767,-124.24453,34,10.099
nbend_all,42.04113,-124.24874,35,10.617
nbend_all,42.04417,-124.25229,36,11.065
nbend_all,42.04588,-124.25441,37,11.323
nbend_all,42.0482,-124.25716,38,11.667
nbend_all,42.049668,-124.258994,39,11.889
nbend_all,42.051913,-124.261664,40,12.223
nbend_all,42.05351,-124.2636,41,12.461
nbend_all,42.05388,-124.26412,42,12.521
nbend_all,42.05418,-124.26464,43,12.575
nbend_all,42.05436,-124.265,44,12.611
nbend_all,42.05453,-124.26547,45,12.654
nbend_all,42.05464,-124.26564,46,12.673
nbend_all,42.05473,-124.266,47,12.704
nbend_all,42.05481,-124.26664,48,12.758
nbend_all,42.05487,-124.26732,49,12.814
nbend_all,42.05484,-124.26763,50,12.84
nbend_all,42.05507,-124.27168,51,13.176
nbend_all,42.05506,-124.27247,52,13.241
nbend_all,42.05486,-124.2737,53,13.345
nbend_all,42.05446,-124.27532,54,13.486
nbend_all,42.05308,-124.27968,55,13.877
nbend_all,42.0524,-124.28205,56,14.087
nbend_all,42.05228,-124.28296,57,14.163
nbend_all,42.0523,-124.28354,58,14.211
nbend_all,42.0524,-124.28416,59,14.263
nbend_all,42.05258,-124.28475,60,14.316
nbend_all,42.05298,-124.28558,61,14.398
nbend_all,42.05404,-124.28751,62,14.596
nbend_all,42.054368,-124.288192,63,14.663
nbend_all,42.054581,-124.288009,64,14.691
nbend_all,42.054806,-124.287969,65,14.716
nbend_all,42.054971,-124.287985,66,14.735
nbend_all,42.054794,-124.288312,67,14.768
nbend_all,42.054996,-124.289029,68,14.832
nbend_all,42.054729,-124.289189,69,14.864
nbend_all,42.05515,-124.29063,70,14.992
nbend_all,42.05635,-124.2958,71,15.439
nbend_all,42.05669,-124.29684,72,15.533
nbend_all,42.05709,-124.29768,73,15.615
nbend_all,42.0574,-124.29797,74,15.657
nbend_all,42.05846,-124.29862,75,15.787
