trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
3381A147B599,06:00:00,06:00:00,9457,1,,0,0,0
3381A147B599,06:35:00,06:35:00,9465,2,,0,0,25.412884765
3381A147B599,06:46:00,06:46:00,9468,3,,0,0,28.4213759624
3381A147B599,07:05:00,07:05:00,9466,4,,0,0,43.7683960559
3381A147B599,07:13:00,07:13:00,9467,5,,0,0,50.1883151512
3381A147B599,07:18:00,07:18:00,9460,6,,0,0,51.7779065802
3381A147B599,07:25:00,07:25:00,9459,7,,0,0,54.299056815
3381A147B599,07:30:00,07:30:00,9458,8,,0,0,55.145035449
3381A147B599,07:33:00,07:33:00,9457,9,,0,0,55.5333191523
3382A147B599,12:00:00,12:00:00,9457,1,,0,0,0
3382A147B599,12:03:00,12:03:00,9458,2,,0,0,0.236294660716
3382A147B599,12:08:00,12:08:00,9459,3,,0,0,0.991910466382
3382A147B599,12:13:00,12:13:00,9460,4,,0,0,2.31063168854
3382A147B599,12:19:00,12:19:00,9467,5,,0,0,4.94142077794
3382A147B599,12:44:00,12:44:00,9468,6,,0,0,26.2630043101
3382A147B599,12:56:00,12:56:00,9465,7,,0,0,28.9478733893
3382A147B599,13:27:00,13:27:00,9467,8,,0,0,53.2466230025
3382A147B599,13:33:00,13:33:00,9460,9,,0,0,54.8362144315
3382A147B599,13:38:00,13:38:00,9459,10,,0,0,57.3573646663
3382A147B599,13:43:00,13:43:00,9458,11,,0,0,58.2033433003
3382A147B599,13:46:00,13:46:00,9457,12,,0,0,58.5916270035
3383A147B599,17:00:00,17:00:00,9457,1,,0,0,0
3383A147B599,17:03:00,17:03:00,9458,2,,0,0,0.236294660716
3383A147B599,17:08:00,17:08:00,9459,3,,0,0,0.991910466382
3383A147B599,17:15:00,17:15:00,9460,4,,0,0,2.31063168854
3383A147B599,17:21:00,17:21:00,9467,5,,0,0,4.94142077794
3383A147B599,17:29:00,17:29:00,9466,6,,0,0,11.0396717619
3383A147B599,17:48:00,17:48:00,9468,7,,0,0,26.4380039806
3383A147B599,17:58:00,17:58:00,9465,8,,0,0,29.1188754448
3383A147B599,18:28:00,18:28:00,9457,9,,0,0,55.1197141561
3387A148B599,14:00:00,14:00:00,5110,1,,0,1,0
3387A148B599,14:30:00,14:30:00,5107,2,,0,1,10.229751578
3387A148B599,14:50:00,14:50:00,5108,3,,0,1,12.3626350626
3387A148B599,15:30:00,15:30:00,5109,4,,0,1,21.8082782023
3387A148B599,16:35:00,16:35:00,9469,5,,0,0,77.4066658239
3387A148B599,17:10:00,17:10:00,9468,6,,0,0,102.420011422
3386A148B599,07:30:00,07:30:00,9468,1,,0,0,0
3386A148B599,08:00:00,08:00:00,9469,2,,0,0,22.5586350334
3386A148B599,09:15:00,09:15:00,5109,3,,1,0,79.1156268151
3386A148B599,09:35:00,09:35:00,5107,4,,1,0,88.1256024722
3386A148B599,09:50:00,09:50:00,5108,5,,1,0,90.2584859567
3386A148B599,10:30:00,10:30:00,5110,6,,1,0,100.448230037
