trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
16450A329B586,10:50:00,10:50:00,15889,1,,0,0,0
16450A329B586,10:54:00,10:54:00,15888,2,,0,0,0.759651170411
16450A329B586,10:57:00,10:57:00,15887,3,,0,0,1.19090431808
16450A329B586,11:00:00,11:00:00,16060,4,,0,0,2.36596812829
16450A329B586,11:09:00,11:09:00,15892,5,,0,0,8.61482410467
16450A329B586,11:10:00,11:10:00,15884,6,,0,0,8.92933045137
16450A329B586,11:12:00,11:12:00,15882,7,,0,0,9.25987054733
16450A329B586,11:17:00,11:17:00,15881,8,,0,0,10.4943936553
16450A329B586,11:21:00,11:21:00,15873,9,,2,3,12.9260952592
16450A329B586,11:32:00,11:32:00,15874,10,,0,0,21.9655343306
16450A329B586,11:33:00,11:33:00,15875,11,,2,3,22.077364393
16450A329B586,,,15879,12,,2,3,23.0593634638
16450A329B586,,,15878,13,,2,3,23.5043890158
16450A329B586,,,15877,14,,2,3,23.6890233416
16450A329B586,,,15880,15,,2,3,24.1090720957
16450A329B586,11:39:00,11:39:00,15876,16,,2,3,24.4209087534
16449A329B586,18:00:00,18:00:00,15889,1,,0,0,0
16449A329B586,18:04:00,18:04:00,15888,2,,0,0,0.759651170411
16449A329B586,18:07:00,18:07:00,15887,3,,0,0,1.19090431808
16449A329B586,18:10:00,18:10:00,16060,4,,0,0,2.36596812829
16449A329B586,18:19:00,18:19:00,15892,5,,0,0,8.61482410467
16449A329B586,18:20:00,18:20:00,15884,6,,0,0,8.92933045137
16449A329B586,18:22:00,18:22:00,15882,7,,0,0,9.25987054733
16449A329B586,,,15881,8,,2,3,10.4943936553
16449A329B586,,,15873,9,,2,3,12.9260952592
16449A329B586,,,15874,10,,2,3,21.9655343306
16449A329B586,,,15875,11,,2,3,22.077364393
16449A329B586,,,15879,12,,2,3,23.0593634638
16449A329B586,,,15878,13,,2,3,23.5043890158
16449A329B586,,,15877,14,,2,3,23.6890233416
16449A329B586,,,15880,15,,2,3,24.1090720957
16449A329B586,18:49:00,18:49:00,15876,16,,2,3,24.4209087534
16448A329B586,13:04:00,13:04:00,15876,1,,2,3,0
16448A329B586,,,15880,2,,2,3,0.311836657616
16448A329B586,,,15877,3,,2,3,0.731885411727
16448A329B586,,,15878,4,,2,3,0.916519737573
