route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,trip_bikes_allowed
493,329A586,16450A329B586,,"Siletz",,,0,0
493,329A586,16449A329B586,,"Siletz",,,1,0
493,329A586,16448A329B586,,"Newport",,,2,0
493,329A586,16447A329B586,,"Newport",,,2,0
493,329A586,16446A329B586,,"Newport",,,2,0
493,329A586,16454A329B586,,"Newport",,,2,0
493,329A586,16451A329B586,,"Siletz",,,1,0
493,329A586,16452A329B586,,"Siletz",,,1,0
497,329A586,16653A329B586,,"Newport",,,3,0
497,329A586,16654A329B586,,"Newport",,,3,0
497,329A586,16655A329B586,,"Newport",,,3,0
497,329A586,16656A329B586,,"Newport",,,3,0
497,329A586,16657A329B586,,"Yachats",,,4,0
497,329A586,16661A329B586,,"Yachats",,,4,0
497,329A586,16662A329B586,,"Yachats",,,4,0
497,329A586,16664A329B586,,"Yachats",,,4,0
491,335A586,16895A335B586,,"Loop",,,5,0
491,335A586,16902A335B586,,"Loop",,,6,0
491,335A586,16898A335B586,,"Loop",,,7,0
491,335A586,16901A335B586,,"Loop",,,6,0
491,335A586,16900A335B586,,"Loop",,,6,0
491,335A586,16903A335B586,,"Loop",,,6,0
491,335A586,16906A335B586,,"Loop",,,6,0
491,335A586,16905A335B586,,"Loop",,,8,0
492,329A586,16930A329B586,,"DMV",,,9,0
492,329A586,16931A329B586,,"SW 62nd & Highway 101",,,10,0
492,329A586,16932A329B586,,"DMV",,,11,0
492,329A586,16933A329B586,,"DMV",,,9,0
492,329A586,16934A329B586,,"DMV",,,9,0
492,329A586,16935A329B586,,"DMV",,,9,0
492,329A586,16936A329B586,,"DMV",,,9,0
492,329A586,16937A329B586,,"DMV",,,9,0
492,329A586,16938A329B586,,"DMV",,,9,0
492,329A586,16939A329B586,,"DMV",,,9,0
492,329A586,16945A329B586,,"SW 62nd & Highway 101",,,10,0
492,329A586,16941A329B586,,"SW 62nd & Highway 101",,,10,0
492,329A586,16942A329B586,,"SW 62nd & Highway 101",,,12,0
492,329A586,16943A329B586,,"SW 62nd & Highway 101",,,10,0
492,329A586,16944A329B586,,"SW 62nd & Highway 101",,,10,0
492,329A586,16946A329B586,,"SW 62nd & Highway 101",,,10,0
492,329A586,16947A329B586,,"SW 62nd & Highway 101",,,10,0
492,329A586,16948A329B586,,"SW 62nd & Highway 101",,,13,0
495,329A586,17286A329B586,,"Rose Lodge / Lincoln City ",,,14,0
495,329A586,17385A329B586,,"Rose Lodge / Lincoln City ",,,15,0
495,329A586,17386A329B586,,"Rose Lodge / Lincoln City ",,,16,0
495,329A586,17387A329B586,,"Rose Lodge / Lincoln City ",,,15,0
495,329A586,17388A329B586,,"Newport",,,17,0
495,329A586,17389A329B586,,"Newport",,,17,0
495,329A586,17390A329B586,,"Newport",,,17,0
495,329A586,17391A329B586,,"Newport",,,18,0
