service_id,date,exception_type
2.327,20120221,1
7.327,20120221,1
A.327,20120221,1
W.327,20120221,1
e.327,20120221,1
p.327,20120221,1
2.327,20120222,1
7.327,20120222,1
A.327,20120222,1
W.327,20120222,1
e.327,20120222,1
p.327,20120222,1
2.327,20120223,1
7.327,20120223,1
A.327,20120223,1
W.327,20120223,1
e.327,20120223,1
p.327,20120223,1
2.327,20120224,1
7.327,20120224,1
A.327,20120224,1
P.327,20120224,1
W.327,20120224,1
e.327,20120224,1
8.327,20120225,1
B.327,20120225,1
S.327,20120225,1
C.327,20120226,1
U.327,20120226,1
2.327,20120227,1
7.327,20120227,1
A.327,20120227,1
W.327,20120227,1
e.327,20120227,1
p.327,20120227,1
2.327,20120228,1
7.327,20120228,1
A.327,20120228,1
W.327,20120228,1
e.327,20120228,1
p.327,20120228,1
2.327,20120229,1
7.327,20120229,1
A.327,20120229,1
W.327,20120229,1
e.327,20120229,1
p.327,20120229,1
2.327,20120301,1
7.327,20120301,1
A.327,20120301,1
W.327,20120301,1
e.327,20120301,1
p.327,20120301,1
2.327,20120302,1
7.327,20120302,1
A.327,20120302,1
P.327,20120302,1
W.327,20120302,1
e.327,20120302,1
8.327,20120303,1
B.327,20120303,1
S.327,20120303,1
C.323,20120304,1
U.323,20120304,1
2.323,20120305,1
7.323,20120305,1
A.323,20120305,1
W.323,20120305,1
e.323,20120305,1
p.323,20120305,1
2.323,20120306,1
7.323,20120306,1
A.323,20120306,1
W.323,20120306,1
e.323,20120306,1
p.323,20120306,1
2.323,20120307,1
7.323,20120307,1
A.323,20120307,1
W.323,20120307,1
e.323,20120307,1
p.323,20120307,1
2.323,20120308,1
7.323,20120308,1
A.323,20120308,1
W.323,20120308,1
e.323,20120308,1
p.323,20120308,1
2.323,20120309,1
7.323,20120309,1
A.323,20120309,1
P.323,20120309,1
W.323,20120309,1
e.323,20120309,1
8.323,20120310,1
B.323,20120310,1
S.323,20120310,1
C.323,20120311,1
U.323,20120311,1
2.323,20120312,1
7.323,20120312,1
A.323,20120312,1
Q.323,20120312,1
W.323,20120312,1
e.323,20120312,1
p.323,20120312,1
2.323,20120313,1
7.323,20120313,1
A.323,20120313,1
W.323,20120313,1
e.323,20120313,1
