service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
165-1,1,1,1,1,1,0,0,20111204,20120303
165-14,0,0,0,0,0,0,0,20111204,20120303
165-15,0,0,0,0,0,0,0,20111204,20120303
165-3,0,0,0,0,0,1,0,20111204,20120303
165-4,0,0,0,0,0,0,1,20111204,20120303
166-1,1,1,1,1,1,0,0,20120904,20120905
166-14,0,0,0,0,0,0,0,20120904,20120905
166-15,0,0,0,0,0,0,0,20120904,20120905
166-3,0,0,0,0,0,1,0,20120904,20120905
166-4,0,0,0,0,0,0,1,20120904,20120905
167-1,1,1,1,1,1,0,0,20120304,20120616
167-14,0,0,0,0,0,0,0,20120304,20120616
167-15,0,0,0,0,0,0,0,20120304,20120616
167-3,0,0,0,0,0,1,0,20120304,20120616
167-4,0,0,0,0,0,0,1,20120304,20120616
