service_id,date,exception_type
165-14,20111205,1
165-14,20111206,1
165-14,20111207,1
165-14,20111208,1
165-14,20111209,1
165-14,20111212,1
165-14,20111213,1
165-14,20111214,1
165-14,20111215,1
165-14,20111216,1
165-15,20111219,1
165-15,20111220,1
165-15,20111221,1
165-15,20111222,1
165-15,20111223,1
165-1,20111226,2
165-15,20111227,1
165-15,20111228,1
165-15,20111229,1
165-15,20111230,1
165-1,20120102,2
165-14,20120103,1
165-14,20120104,1
165-14,20120105,1
165-14,20120106,1
165-14,20120109,1
165-14,20120110,1
165-14,20120111,1
165-14,20120112,1
165-14,20120113,1
165-15,20120116,1
165-14,20120117,1
165-14,20120118,1
165-14,20120119,1
165-14,20120120,1
165-14,20120123,1
165-14,20120124,1
165-14,20120125,1
165-14,20120126,1
165-14,20120127,1
165-15,20120130,1
165-14,20120131,1
165-14,20120201,1
165-14,20120202,1
165-14,20120203,1
165-14,20120206,1
165-14,20120207,1
165-14,20120208,1
165-14,20120209,1
165-14,20120210,1
165-15,20120213,1
165-14,20120214,1
165-14,20120215,1
165-14,20120216,1
165-14,20120217,1
165-1,20120220,2
165-14,20120221,1
165-14,20120222,1
165-14,20120223,1
165-14,20120224,1
165-14,20120227,1
165-14,20120228,1
165-14,20120229,1
165-14,20120301,1
165-14,20120302,1
167-14,20120305,1
167-14,20120306,1
167-14,20120307,1
167-14,20120308,1
167-15,20120309,1
167-14,20120312,1
167-14,20120313,1
167-14,20120314,1
167-14,20120315,1
167-14,20120316,1
167-14,20120319,1
167-14,20120320,1
167-14,20120321,1
167-14,20120322,1
167-14,20120323,1
167-15,20120326,1
167-15,20120327,1
167-15,20120328,1
167-15,20120329,1
167-15,20120330,1
167-14,20120402,1
167-14,20120403,1
167-14,20120404,1
167-14,20120405,1
167-14,20120406,1
167-14,20120409,1
167-14,20120410,1
167-14,20120411,1
167-14,20120412,1
167-14,20120413,1
167-15,20120416,1
167-14,20120417,1
167-14,20120418,1
167-14,20120419,1
167-14,20120420,1
167-14,20120423,1
167-14,20120424,1
167-14,20120425,1
167-14,20120426,1
167-15,20120427,1
167-14,20120430,1
167-14,20120501,1
167-14,20120502,1
167-14,20120503,1
167-14,20120504,1
167-14,20120507,1
167-14,20120508,1
167-14,20120509,1
167-14,20120510,1
167-14,20120511,1
167-14,20120514,1
167-14,20120515,1
167-14,20120516,1
167-14,20120517,1
167-14,20120518,1
167-14,20120521,1
167-14,20120522,1
167-14,20120523,1
167-14,20120524,1
167-14,20120525,1
167-1,20120528,2
167-14,20120529,1
167-14,20120530,1
167-14,20120531,1
