fare_id,route_id
165-1,165-6039
165-2,165-6040
165-1,165-6041
165-3,165-6042
165-1,165-6043
165-1,165-6044
165-1,165-6045
165-1,165-6046
165-1,165-6047
165-1,165-6048
165-1,165-6049
165-1,165-6050
165-1,165-6051
165-1,165-6052
165-1,165-6053
165-1,165-6054
165-1,165-6055
165-1,165-6056
165-1,165-6057
165-1,165-6058
165-1,165-6059
165-1,165-6060
165-1,165-6061
165-1,165-6062
165-1,165-6063
165-1,165-6064
166-1,166-6068
166-2,166-6069
166-1,166-6070
166-3,166-6071
166-1,166-6072
166-1,166-6073
166-1,166-6074
166-1,166-6075
166-1,166-6076
166-1,166-6077
166-1,166-6078
166-1,166-6079
166-1,166-6080
166-1,166-6081
166-1,166-6082
166-1,166-6083
166-1,166-6084
166-1,166-6085
166-1,166-6086
166-1,166-6087
166-1,166-6088
166-1,166-6089
166-1,166-6090
166-1,166-6091
166-1,166-6092
166-1,166-6093
167-1,167-6099
167-2,167-6100
167-1,167-6101
167-3,167-6102
167-1,167-6103
167-1,167-6104
167-1,167-6105
167-1,167-6106
167-1,167-6107
167-1,167-6108
167-1,167-6109
167-1,167-6110
167-1,167-6111
167-1,167-6112
167-1,167-6113
167-1,167-6114
167-1,167-6115
167-1,167-6116
167-1,167-6117
167-1,167-6118
167-1,167-6119
167-1,167-6120
167-1,167-6121
167-1,167-6122
167-1,167-6123
167-1,167-6124
