stop_id,stop_name,stop_lon,stop_lat
1,Transit Mall on Cottage St.,-123.033434,44.939822
2,Civic Center Outbound,-123.042885,44.935311
3,Commercial @ Miller,-123.044203,44.929237
4,Commercial @ Madrona,-123.042347,44.905562
6,Commercial @ Wiltsey,-123.022314,44.869239
7,Sunnyside @ Neahkahnie,-123.030666,44.860283
9,Commercial @ Browning,-123.038465,44.898914
10,Commercial @ Vista,-123.045011,44.911653
11,Liberty @ Kearney,-123.04225,44.932184
13,D St. @ 14 th St.,-123.019921,44.945114
14,D St. @ Park,-122.999594,44.943539
15,Lancaster @ Market,-122.983653,44.950094
16,Lancaster @ Devonshire,-122.983452,44.96581
17,Chemeketa College - Bldg 2,-122.979508,44.978227
19,Capitol @ Market,-123.023105,44.949122
25,Summer @ Market,-123.024983,44.9495
26,Broadway @ Gaines,-123.03096,44.951872
28,Cherry @ Clearview,-123.023788,44.981534
32,Center @ 13th,-123.024286,44.940011
33,Center @ 24th,-123.008693,44.939929
35,Center @ Concord,-122.981363,44.939643
36,Royalty @ Center,-122.96662,44.939898
38,Center @ Lancaster (NW),-122.983837,44.939752
39,Center @ 24th,-123.008604,44.940045
41,Winter @ Oak,-123.034689,44.933703
42,12th @ Rural,-123.030731,44.921286
43,Pringle @ Madrona,-123.026,44.904943
45,Sunnyside @ Boone,-123.037005,44.883156
46,Pringle @ Georgia,-123.025861,44.905563
47,13th @ Rural,-123.029259,44.921133
52,27th Court,-123.005372,44.892749
53,25th @ Madrona,-123.010274,44.911437
58,Liberty @ Skyline,-123.060727,44.889082
59,Liberty @ Rock Creek,-123.061494,44.876737
62,Broadway @ Fred Meyer (east side),-123.028447,44.97111
63,River Rd @ Chemawa SE,-123.026568,44.996874
64,Parkmeadow @ River Rd,-123.01197,45.024345
66,Lockhaven @ Whiteaker MS,-123.0088,45.006084
68,7th @ Wallace Rd.,-123.051783,44.948761
69,Edgewater @ Kingwood,-123.060281,44.93981
70,Kingwood West Apts.,-123.071191,44.936518
71,Capital Manor,-123.073842,44.936086
73,Orchard Hts @ Mousebird,-123.072931,44.960266
76,Chemawa @ Safeway,-123.02418,44.996856
77,Hyacinth @ 25th,-123.000441,44.980507
78,State @ Lancaster,-122.983503,44.928179
85,State @ 14th,-123.024235,44.936327
86,17th @ Market,-123.013487,44.948681
87,Sunnyview @ Byram,-122.993777,44.953853
103,Winter @ Willamette University,-123.033066,44.936704
105,Lancaster @ Sundial MHP,-122.977316,44.906496
106,Marion Co. Correctional Facility,-122.967862,44.899341
107,Lancaster @ Carson,-122.97848,44.910019
109,Winter @ Belmont,-123.026531,44.94976
110,Market @ 45th,-122.973666,44.950162
112,Chemeketa College @ Bldg. 4,-122.975761,44.980382
113,Brown @ Surfwood North Entrance,-122.970745,44.967261
114,Winter @ Belmont,-123.027026,44.94905
121,Commercial @ Belmont,-123.035554,44.951243
127,Airport Rd Park & Ride,-123.0037,44.92397
128,Court @ Capitol,-123.029615,44.938942
130,Mission @ University,-123.032038,44.930379
131,Mission @ 23rd,-123.014177,44.924178
135,Winter @ Salem Hospital,-123.035311,44.932275
143,Garten Foundation,-123.011273,44.968216
144,Rockwest Training Center,-123.001972,44.99351
146,Hayesville @ Nandale,-122.986254,44.989795
147,Kale @ Happy,-122.975583,44.997079
148,Fuhrer @ Bohannon,-122.962421,44.990378
152,D St. @ 14th,-123.019515,44.945123
153,Civic Center Inbound,-123.04149,44.935114
155,D St. @ Park,-123.000279,44.943638
156,Lancaster @ Fred Meyer,-122.983768,44.948486
159,Royalty @ Center,-122.96681,44.939727
163,Del Webb @ SKT,-123.017328,44.970121
167,Winter @ Oak,-123.034639,44.933452
170,Liberty @ Madrona,-123.05045,44.904474
173,Liberty @ Ferry,-123.039257,44.938968
175,High @ Division,-123.033891,44.946319
176,River Rd @ Chemawa,-123.026707,44.997179
177,Broadway @ Fred Meyer (west side),-123.028574,44.971137
178,Battle Creek @ Boone Rd.,-123.011714,44.882948
182,Edgewater @ Kingwood,-123.060294,44.939711
184,Lancaster @ State,-122.983338,44.927712
191,Paradise Island MHP,-122.989708,44.902673
192,Mission @ 23rd,-123.013784,44.924151
200,17th @ Market,-123.013575,44.948726
201,17th @ State,-123.020315,44.93532
202,State @ Lancaster,-122.983858,44.92799
203,Market @ 17th,-123.013474,44.948789
204,Market @ 17th,-123.013575,44.948681
206,Del Webb @ Salem-Keizer Transit,-123.017366,44.970517
207,State @ 17th,-123.020353,44.935231
211,Commercial @ Madrona/Fred Meyer,-123.042423,44.905832
213,Madrona @ Commercial,-123.040584,44.904754
214,State @ 14th,-123.024426,44.9363
215,Battle Creek @ Independence,-123.01918,44.889876
218,Court @ Church,-123.034982,44.940289
223,Northeast Park & Ride,-122.992865,44.950906
227,Summer @ Marion,-123.028638,44.942239
230,Commercial @ Baxter (Walmart),-123.027966,44.878412
231,Commercial @ RiteAid,-123.033874,44.888977
232,Glen Creek Transit Station,-123.048383,44.951053
235,Orchard Ht @ Parkway,-123.060771,44.956118
254,8th @ Gerth,-123.061718,44.946036
263,Orchard Heights @ Overlook,-123.057179,44.954816
264,Capitol/Marion,-123.026836,44.941718
266,Commercial @ Mission,-123.043951,44.93337
267,Commercial @ Bush,-123.04409,44.931286
268,Commercial@ Myers,-123.04433,44.927251
269,Commercial @ Washington,-123.044532,44.924232
270,Commercial @ Hoyt,-123.044835,44.919183
277,Orchard Hts @ Doaks Fy,-123.078947,44.960381
278,West Salem HS,-123.081803,44.960083
286,Brush College @ Wilark,-123.073154,44.971238
287,Doaks Ferry @ Gibson Woods,-123.078116,44.969098
288,Orchard Hts @ Snowbird,-123.070926,44.96024
289,Capitol @ Union,-123.026252,44.942868
290,Capitol/D St,-123.024615,44.946013
291,D St. @ 17th St.,-123.015924,44.944108
292,D St @ Thompson,-123.011673,44.943523
293,D St. @ 23rd St.,-123.006433,44.94354
294,D St. @ 25th St.,-123.003312,44.943594
295,D St. @ Savage,-122.995952,44.943493
296,D St. @ Hawthorne,-122.99207,44.943411
297,D St. @ 39th (Lanc Mall),-122.984913,44.943355
298,Lancaster @ D St.,-122.98334,44.943795
299,Lancaster @ Weathers,-122.983567,44.945961
300,Lancaster @ Cypress,-122.983642,44.947794
301,Lancaster @ Sunnyview,-122.983625,44.952924
303,Lancaster @ Wolverine,-122.983546,44.957947
304,Lancaster @ Beverly,-122.983531,44.961092
305,Lancaster @ Watson,-122.983479,44.963267
308,Lancaster @ Satter,-122.983265,44.979244
309,Lancaster @ Ward,-122.983211,44.983027
310,Lancaster @ Jade,-122.983146,44.985885
312,Lancaster @ Lanc. Lee Ct. Apt.,-122.983107,44.987574
313,Portland Rd @ 38th,-122.984449,44.993317
314,Portland Rd @ 4850,-122.983852,44.993973
315,Kale @ Portland Rd.,-122.980027,44.997143
316,Happy @ Geranium,-122.97584,44.993197
317,Happy @ Hayesville,-122.975995,44.990079
318,Hayesville @ Harlan,-122.971017,44.990086
319,Hayesville @ Janice,-122.966472,44.990084
320,Fuhrer @ WB Post,-122.962677,44.987988
321,Fuhrer @ Jade,-122.962869,44.986182
322,Jade @ Janice,-122.966958,44.986247
323,Jade @ 46th,-122.97031,44.985889
331,Capitol @ Shipping,-123.021912,44.95153
332,Capitol @ Madison,-123.020744,44.95401
334,Fairgrounds @ Sunnyview,-123.019881,44.95658
337,Lana @ Silverton,-123.004788,44.964674
338,Wallace @ Taybin (Burger King),-123.051911,44.951313
339,Wallace @ Orchard Hts,-123.052483,44.953272
340,Wallace @ Hope,-123.053944,44.958779
341,Wallace @ Empire,-123.054465,44.960244
342,Wallace @ Harritt,-123.057069,44.964503
361,Brush College @ Wallace Park & Ride,-123.065246,44.971636
366,Taybin @ 5th,-123.050465,44.95187
373,Portland Rd @ Hyacinth,-122.996899,44.979455
374,Portland Rd @ Ward,-122.99056,44.986516
375,Portland Rd @ Hayesville,-122.987587,44.989813
377,Union @ High,-123.034081,44.945088
379,High @ Willow,-123.033231,44.947289
380,Broadway @ Belmont,-123.031823,44.950209
381,Broadway @ Shipping,-123.030097,44.95357
382,Broadway @ Madison,-123.028828,44.956122
383,Broadway @ Academy,-123.028574,44.958656
384,Broadway @ Highland,-123.028562,44.960615
391,Van Ness @ Cherry,-123.020425,44.971416
392,Cherry @ Plymouth,-123.021541,44.974731
393,Cherry @ Candlewood,-123.022557,44.978011
401,Verda @ Chemawa,-123.012472,44.997502
405,Lockhaven @ Klicitat,-123.009828,45.005994
406,Chemawa @ Modoc,-123.006197,45.003953
407,Chemawa @ Springtime,-123.009588,45.001653
408,Chemawa @ Verda,-123.012523,44.997601
424,Broadway @ Shipping,-123.030186,44.953723
425,Broadway @ Gaines,-123.031176,44.95171
426,Broadway @ River St,-123.028727,44.957614
427,Broadway @ Columbia,-123.028701,44.959689
428,Broadway @ Jefferson,-123.029336,44.95543
430,Portland Rd @ Hayesville,-122.988108,44.989436
431,Portland Rd @ Astoria,-122.990573,44.986687
432,Portland Rd @ Hyacinth,-122.997522,44.978799
438,Silverton Rd @ Highway,-123.003468,44.96515
439,Lana @ DMV,-123.007796,44.966274
440,Portland Rd @ Lana,-123.009319,44.966607
443,Summer @ Madison,-123.022419,44.954639
444,Summer @ Norway,-123.02327,44.952923
445,Summer @ Hood,-123.024133,44.951216
446,Summer @ D St.,-123.026354,44.946777
447,Summer @ Union,-123.027965,44.943533
457,Cooley @ 39th (3810 Cooley),-122.985158,44.977025
458,Lancaster @ Cooley,-122.983457,44.976261
459,Lancaster @ Winema (Rockwood Apts),-122.983485,44.972864
460,Lancaster @ Stortz (Goodwill),-122.983499,44.971462
462,Lancaster @ Devonshire (Walmart),-122.983591,44.965963
463,Lancaster @ Beverly,-122.983671,44.9612
464,Lancaster @ Wolverine,-122.983685,44.958343
465,Lancaster @ Sunnyview,-122.983752,44.953958
467,Lancaster @ Market,-122.983805,44.950184
468,Anita @ Lancaster,-122.983909,44.946383
469,38th @ Manor,-122.986498,44.945629
470,D St. @ 37th Pl,-122.987426,44.943491
471,D St. @ Hawthorne,-122.992374,44.943528
472,D St. @ Savage,-122.996384,44.943601
473,D St. @ 25th,-123.003895,44.943666
474,D St. @ 23rd,-123.006255,44.943657
475,D St. @ 20th,-123.011635,44.943631
476,D St. @ 17th,-123.015772,44.944189
477,D St. @ Capitol,-123.024666,44.946409
478,Center @ Capitol,-123.027115,44.940703
479,Center @ Wyatt,-123.020162,44.939166
480,Center @ 17th,-123.017764,44.939328
481,Center @ 21st,-123.012613,44.939669
482,Center @ 25th,-123.003605,44.939883
484,Center @ Edina,-122.99636,44.939791
485,Center @ Oregon,-122.992706,44.939746
486,Center @ Tierra,-122.977874,44.93966
487,Center @ 45th PL,-122.973992,44.939676
488,Royalty @ Regal,-122.96696,44.942935
489,Royalty @ Windsor,-122.968378,44.945964
490,Royalty @ Kingdom Way,-122.968478,44.948138
502,Royalty @ Squire,-122.968528,44.947941
503,Royalty @ Windsor,-122.96853,44.945901
504,Royalty @ Regal,-122.967112,44.942962
505,Center @ Mitchell,-122.972558,44.939775
506,Center @ Firebird Lanes,-122.975666,44.939785
507,Center @ Norman,-122.993442,44.939863
509,Center @ Lancaster (NE),-122.982442,44.939769
511,Center @ 27th,-123.001384,44.939954
512,Center @ 25th,-123.003529,44.939991
513,Center @ Breys,-123.012854,44.939776
514,Center @ 19th,-123.01491,44.939642
515,Center @ 17th,-123.017929,44.939427
516,Center @ Wyatt,-123.019858,44.939301
518,Court @ 12th,-123.026544,44.938097
519,Court @ Winter,-123.031137,44.939301
520,Court @ Cottage,-123.033358,44.939867
521,Center @ Target Store,-122.983913,44.939644
526,Chemeketa @ Cottage,-123.032761,44.941035
527,Commercial @ Boice,-123.045025,44.916047
528,Commercial @ Candalaria,-123.045164,44.914394
529,Commercial @ Vista,-123.045011,44.911016
530,Commercial @ Ratcliff,-123.044224,44.908617
531,Commercial @ Madrona (farside),-123.041522,44.904475
532,Commercial @ Harris,-123.040101,44.902193
533,Commercial @ Oak Hill,-123.039099,44.900055
534,Commercial @ Browning,-123.038389,44.898501
535,Commercial @ Welcome,-123.036905,44.89532
540,Commercial @ Barnes,-123.029158,44.880146
541,Commercial @ Baxter,-123.027371,44.877289
542,Commercial @ Fabry,-123.025203,44.873866
