route_id,service_id,trip_id,trip_headsign,direction_id,block_id
165-6039,165-1,165-423883,Sunnyside @ Hilfiker ,0,165-105
165-6039,165-1,165-423867,Sunnyside @ Hilfiker ,0,165-104
165-6039,165-1,165-423869,Sunnyside @ Hilfiker ,0,165-105
165-6039,165-1,165-423870,Sunnyside @ Hilfiker ,0,165-104
165-6039,165-1,165-423871,Sunnyside @ Hilfiker ,0,165-105
165-6039,165-1,165-423872,Sunnyside @ Hilfiker ,0,165-104
165-6039,165-1,165-423873,Sunnyside @ Hilfiker ,0,165-106
165-6039,165-15,165-423885,Sunnyside @ Hilfiker ,0,165-107
165-6039,165-14,165-423887,Sunnyside @ Hilfiker ,0,165-107
165-6039,165-1,165-423874,Sunnyside @ Hilfiker ,0,165-106
165-6039,165-1,165-423875,Sunnyside @ Hilfiker ,0,165-107
165-6039,165-1,165-423876,Sunnyside @ Hilfiker ,0,165-106
165-6039,165-1,165-423877,Sunnyside @ Hilfiker ,0,165-107
165-6039,165-1,165-423878,Sunnyside @ Hilfiker ,0,165-106
165-6039,165-1,165-423879,Sunnyside @ Hilfiker ,0,165-107
165-6039,165-1,165-423880,Sunnyside @ Hilfiker ,0,165-106
165-6039,165-1,165-423881,Sunnyside @ Hilfiker ,0,165-107
165-6039,165-1,165-423855,Sunnyside @ Hilfiker ,0,165-101
165-6039,165-1,165-423839,Sunnyside @ Boxwood ,0,165-102
165-6039,165-1,165-423840,Sunnyside @ Boxwood ,0,165-101
165-6039,165-1,165-423860,Sunnyside @ Boxwood ,0,165-103
165-6039,165-1,165-423861,Sunnyside @ Boxwood ,0,165-102
165-6039,165-1,165-423841,Sunnyside @ Boxwood ,0,165-101
165-6039,165-1,165-423862,Sunnyside @ Boxwood ,0,165-103
165-6039,165-1,165-423863,Sunnyside @ Boxwood ,0,165-102
165-6039,165-1,165-423842,Sunnyside @ Boxwood ,0,165-101
165-6039,165-1,165-423868,Sunnyside @ Boxwood ,0,165-103
165-6039,165-1,165-423864,Sunnyside @ Boxwood ,0,165-102
165-6039,165-1,165-423843,Sunnyside @ Boxwood ,0,165-101
165-6039,165-1,165-423865,Sunnyside @ Boxwood ,0,165-103
165-6039,165-1,165-423866,Sunnyside @ Boxwood ,0,165-102
165-6039,165-1,165-423845,Sunnyside @ Boxwood ,0,165-101
165-6039,165-1,165-423844,Sunnyside @ Boxwood ,0,165-103
165-6039,165-1,165-423846,Sunnyside @ Boxwood ,0,165-102
165-6039,165-1,165-423847,Sunnyside @ Boxwood ,0,165-101
165-6039,165-1,165-423848,Sunnyside @ Boxwood ,0,165-103
165-6039,165-15,165-423886,Sunnyside @ Boxwood ,0,165-108
165-6039,165-14,165-423888,Sunnyside @ Boxwood ,0,165-108
165-6039,165-1,165-423849,Sunnyside @ Boxwood ,0,165-101
165-6039,165-1,165-423850,Sunnyside @ Boxwood ,0,165-103
165-6039,165-1,165-423851,Sunnyside @ Boxwood ,0,165-108
165-6039,165-1,165-423852,Sunnyside @ Boxwood ,0,165-101
165-6039,165-1,165-423853,Sunnyside @ Boxwood ,0,165-103
165-6039,165-1,165-423854,Sunnyside @ Boxwood ,0,165-108
165-6039,165-1,165-423884,Sunnyside @ Hilfiker ,0,165-104
165-6039,165-1,165-423838,Sunnyside @ Boxwood ,0,165-101
165-6039,165-1,165-423882,Sunnyside @ Boxwood ,0,165-103
165-6039,165-1,165-423856,Sunnyside @ Boxwood ,0,165-103
165-6039,165-1,165-423857,Sunnyside @ Boxwood ,0,165-108
165-6039,165-1,165-423858,Sunnyside @ Boxwood ,0,165-101
165-6039,165-1,165-423859,Sunnyside @ Boxwood ,0,165-103
165-6039,165-1,165-423907,Church @ Chemeketa ,1,165-103
165-6039,165-1,165-423938,Church @ Chemeketa ,1,165-107
165-6039,165-1,165-423908,Church @ Chemeketa ,1,165-108
165-6039,165-1,165-423909,Church @ Chemeketa ,1,165-101
165-6039,165-1,165-423910,Church @ Chemeketa ,1,165-103
165-6039,165-1,165-423911,Church @ Chemeketa ,1,165-108
165-6039,165-1,165-423913,Court St. @ Church St. ,1,165-102
165-6039,165-1,165-423924,Court St. @ Church St. ,1,165-104
165-6039,165-1,165-423889,Court St. @ Church St. ,1,165-101
165-6039,165-1,165-423919,Court St. @ Church St. ,1,165-105
165-6039,165-1,165-423920,Court St. @ Church St. ,1,165-103
165-6039,165-1,165-423918,Court St. @ Church St. ,1,165-104
165-6039,165-1,165-423925,Court St. @ Church St. ,1,165-105
165-6039,165-1,165-423926,Court St. @ Church St. ,1,165-104
165-6039,165-1,165-423927,Court St. @ Church St. ,1,165-105
165-6039,165-1,165-423928,Court St. @ Church St. ,1,165-104
165-6039,165-1,165-423929,Court St. @ Church St. ,1,165-106
165-6039,165-1,165-423930,Court St. @ Church St. ,1,165-107
165-6039,165-1,165-423931,Court St. @ Church St. ,1,165-106
165-6039,165-1,165-423932,Court St. @ Church St. ,1,165-107
165-6039,165-1,165-423933,Court St. @ Church St. ,1,165-106
165-6039,165-1,165-423934,Court St. @ Church St. ,1,165-107
165-6039,165-1,165-423935,Court St. @ Church St. ,1,165-106
165-6039,165-1,165-423936,Court St. @ Church St. ,1,165-107
165-6039,165-1,165-423937,Court St. @ Church St. ,1,165-106
165-6039,165-1,165-423914,Court St. @ Church St. ,1,165-102
165-6039,165-1,165-423890,Court St. @ Church St. ,1,165-101
165-6039,165-1,165-423921,Court St. @ Church St. ,1,165-103
165-6039,165-1,165-423915,Court St. @ Church St. ,1,165-102
165-6039,165-1,165-423891,Court St. @ Church St. ,1,165-101
165-6039,165-1,165-423892,Court St. @ Church St. ,1,165-103
165-6039,165-1,165-423893,Court St. @ Church St. ,1,165-102
165-6039,165-1,165-423894,Court St. @ Church St. ,1,165-101
165-6039,165-1,165-423922,Court St. @ Church St. ,1,165-103
165-6039,165-1,165-423916,Court St. @ Church St. ,1,165-102
165-6039,165-1,165-423896,Court St. @ Church St. ,1,165-101
165-6039,165-1,165-423895,Court St. @ Church St. ,1,165-103
165-6039,165-1,165-423917,Court St. @ Church St. ,1,165-102
165-6039,165-1,165-423897,Court St. @ Church St. ,1,165-101
165-6039,165-1,165-423898,Court St. @ Church St. ,1,165-103
165-6039,165-1,165-423899,Court St. @ Church St. ,1,165-102
165-6039,165-1,165-423900,Court St. @ Church St. ,1,165-101
165-6039,165-1,165-423901,Court St. @ Church St. ,1,165-103
165-6039,165-1,165-423902,Court St. @ Church St. ,1,165-108
165-6039,165-1,165-423903,Court St. @ Church St. ,1,165-101
165-6039,165-1,165-423904,Court St. @ Church St. ,1,165-103
165-6039,165-1,165-423905,Court St. @ Church St. ,1,165-108
165-6039,165-1,165-423906,Court St. @ Church St. ,1,165-101
165-6039,165-1,165-423923,Commercial @ RiteAid ,1,165-101
165-6039,165-1,165-423912,Commercial @ RiteAid ,1,165-103
165-6040,165-1,165-423939,Wilsonville Transit Center ,0,165-10101
165-6040,165-1,165-423940,Wilsonville Transit Center ,0,165-10102
165-6040,165-1,165-423942,Wilsonville Transit Center ,0,165-10104
165-6040,165-1,165-423941,Wilsonville Transit Center ,0,165-10103
165-6040,165-1,165-423943,Court @ Church ,1,165-10101
165-6040,165-1,165-423945,Court @ Church ,1,165-10102
165-6040,165-1,165-423946,Court @ Church ,1,165-10104
165-6040,165-1,165-423944,Court @ Church ,1,165-10103
165-6041,165-1,165-423947,Brown @ San Francisco ,0,165-202
165-6041,165-1,165-423948,Brown @ San Francisco ,0,165-204
165-6041,165-1,165-423949,Brown @ San Francisco ,0,165-202
165-6041,165-1,165-423950,Brown @ San Francisco ,0,165-204
165-6041,165-1,165-423951,Brown @ San Francisco ,0,165-202
165-6041,165-1,165-423952,Brown @ San Francisco ,0,165-204
165-6041,165-1,165-423953,Brown @ San Francisco ,0,165-204
165-6041,165-1,165-423954,Brown @ San Francisco ,0,165-204
165-6041,165-1,165-423955,Brown @ San Francisco ,0,165-204
165-6041,165-1,165-423956,Brown @ San Francisco ,0,165-204
165-6041,165-1,165-423957,Brown @ San Francisco ,0,165-204
165-6041,165-1,165-423958,Brown @ San Francisco ,0,165-205
165-6041,165-1,165-423959,Brown @ San Francisco ,0,165-204
165-6041,165-1,165-423967,Brown @ San Francisco ,0,165-205
165-6041,165-1,165-423960,Brown @ San Francisco ,0,165-204
165-6041,165-1,165-423961,Brown @ San Francisco ,0,165-205
165-6041,165-1,165-423962,Brown @ San Francisco ,0,165-204
165-6041,165-1,165-423963,Brown @ San Francisco ,0,165-205
