trip_id,start_time,end_time,headway_secs,exact_times
14487A294B360,15:37:00,18:40:00,3600,1
14480A294B360,06:30:00,08:35:00,3600,1
14499A294B360,16:02:00,19:10:00,3600,1
14412A294B360,00:00:06,08:35:00,1800,1
14467A295B360,13:59:00,17:04:00,3600,1
14463A295B360,08:59:00,12:04:00,3600,1
14420A294B360,10:00:00,14:05:00,3600,1
14476A295B360,14:21:00,17:26:00,3600,1
14471A295B360,08:21:00,12:26:00,3600,1
14452A294B360,15:08:00,18:12:00,1800,1
14439A294B360,06:27:00,09:00:00,1800,1
14399A294B360,06:00:00,08:05:00,3600,1
14426A294B360,15:07:00,18:42:00,1800,1
14491A294B360,05:55:00,09:00:00,3600,1
