trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
17953A295B360,10:28:00,10:28:00,14516,1,,0,0,0
17953A295B360,,,14520,2,,0,0,0.0896759435433
17953A295B360,,,14521,3,,0,0,0.190306172076
17953A295B360,,,14522,4,,0,0,0.328279325239
17953A295B360,,,14523,5,,0,0,0.450323543826
17953A295B360,,,14524,6,,0,0,0.71701821945
17953A295B360,,,14653,7,,0,0,0.921122187926
17953A295B360,10:33:00,10:33:00,14654,8,,0,0,1.085379337
17953A295B360,,,14503,9,,0,0,1.20470609781
17953A295B360,,,14504,10,,0,0,1.35899817754
17953A295B360,10:35:00,10:35:00,14505,11,,0,0,1.49539848172
17953A295B360,,,14506,12,,0,0,1.65361636883
17953A295B360,,,14507,13,,0,0,1.82159514218
17953A295B360,,,16281,14,,0,0,2.00474795412
17953A295B360,,,14502,15,,0,0,2.67934380819
17953A295B360,,,14529,16,,0,0,2.90966417614
17953A295B360,10:43:00,10:43:00,14530,17,,0,0,3.04587792065
17953A295B360,,,14531,18,,0,0,3.20506130972
17953A295B360,,,14532,19,,0,0,3.33654741849
17953A295B360,,,14533,20,,0,0,3.54858305131
17953A295B360,10:47:00,10:47:00,14534,21,,0,0,3.73625199239
17953A295B360,,,14535,22,,0,0,4.19951870394
17953A295B360,,,14536,23,,0,0,4.59798002828
17953A295B360,,,14537,24,,0,0,4.79160757439
17953A295B360,10:51:00,10:51:00,14491,25,,0,0,4.99370998006
17954A295B360,11:28:00,11:28:00,14516,1,,0,0,0
17954A295B360,,,14520,2,,0,0,0.0896759435433
17954A295B360,,,14521,3,,0,0,0.190306172076
17954A295B360,,,14522,4,,0,0,0.328279325239
17954A295B360,,,14523,5,,0,0,0.450323543826
17954A295B360,,,14524,6,,0,0,0.71701821945
17954A295B360,,,14653,7,,0,0,0.921122187926
17954A295B360,11:33:00,11:33:00,14654,8,,0,0,1.085379337
17954A295B360,,,14503,9,,0,0,1.20470609781
17954A295B360,,,14504,10,,0,0,1.35899817754
17954A295B360,11:35:00,11:35:00,14505,11,,0,0,1.49539848172
17954A295B360,,,14506,12,,0,0,1.65361636883
17954A295B360,,,14507,13,,0,0,1.82159514218
17954A295B360,,,16281,14,,0,0,2.00474795412
17954A295B360,,,14502,15,,0,0,2.67934380819
17954A295B360,,,14529,16,,0,0,2.90966417614
17954A295B360,11:43:00,11:43:00,14530,17,,0,0,3.04587792065
17954A295B360,,,14531,18,,0,0,3.20506130972
17954A295B360,,,14532,19,,0,0,3.33654741849
17954A295B360,,,14533,20,,0,0,3.54858305131
17954A295B360,11:47:00,11:47:00,14534,21,,0,0,3.73625199239
17954A295B360,,,14535,22,,0,0,4.19951870394
17954A295B360,,,14536,23,,0,0,4.59798002828
17954A295B360,,,14537,24,,0,0,4.79160757439
17954A295B360,11:51:00,11:51:00,14491,25,,0,0,4.99370998006
17952A295B360,10:53:00,10:53:00,14491,1,,0,0,0
17952A295B360,,,14492,2,,0,0,0.233806452361
17952A295B360,,,14493,3,,0,0,0.40760558055
17952A295B360,,,14494,4,,0,0,0.797876964695
17952A295B360,10:57:00,10:57:00,14495,5,,0,0,1.20011592579
17952A295B360,,,14496,6,,0,0,1.42672070325
17952A295B360,,,14497,7,,0,0,1.58523370111
17952A295B360,,,14498,8,,0,0,1.655408517
17952A295B360,,,14499,9,,0,0,1.80519182632
17952A295B360,11:01:00,11:01:00,14500,10,,0,0,2.00943161762
17952A295B360,,,14501,11,,0,0,2.08430393559
17952A295B360,,,14502,12,,0,0,2.3883435973
17952A295B360,,,14503,13,,0,0,2.90968252562
17952A295B360,,,14504,14,,0,0,3.0674458417
17952A295B360,11:07:00,11:07:00,14505,15,,0,0,3.20384614587
17952A295B360,,,14506,16,,0,0,3.36206403298
17952A295B360,,,14507,17,,0,0,3.53004280634
17952A295B360,,,16281,18,,0,0,3.71319561828
17952A295B360,11:11:00,11:11:00,14655,19,,0,0,4.01419776761
17952A295B360,,,14656,20,,0,0,4.16047029393
17952A295B360,,,14512,21,,0,0,4.40247432477
17952A295B360,,,14513,22,,0,0,4.63875870736
17952A295B360,,,14514,23,,0,0,4.77354413354
17952A295B360,,,14515,24,,0,0,4.88526726973
17952A295B360,11:17:00,11:17:00,14516,25,,0,0,5.25417082795
14390A294B360,07:10:00,07:10:00,14561,1,,0,0,0
14390A294B360,,,14560,2,,0,0,0.855948120833
14390A294B360,07:18:00,07:18:00,14565,3,,0,0,3.55063996922
14390A294B360,,,14508,4,,0,0,31.691888838
14390A294B360,,,14566,5,,0,0,32.1366331487
14390A294B360,,,14567,6,,0,0,32.2222961634
14390A294B360,07:54:00,07:54:00,14660,7,,0,0,32.4728223001
14391A294B360,08:10:00,08:10:00,14561,1,,0,0,0
14391A294B360,,,14560,2,,0,0,0.855948120833
14391A294B360,08:18:00,08:18:00,14565,3,,0,0,3.55063996922
14391A294B360,,,14508,4,,0,0,31.691888838
14391A294B360,,,14566,5,,0,0,32.1366331487
14391A294B360,,,14567,6,,0,0,32.2222961634
14391A294B360,08:54:00,08:54:00,14660,7,,0,0,32.4728223001
14392A294B360,09:10:00,09:10:00,14561,1,,0,0,0
14392A294B360,,,14560,2,,0,0,0.855948120833
14392A294B360,09:18:00,09:18:00,14565,3,,0,0,3.55063996922
14392A294B360,,,14508,4,,0,0,31.691888838
14392A294B360,,,14566,5,,0,0,32.1366331487
14392A294B360,,,14567,6,,0,0,32.2222961634
14392A294B360,09:54:00,09:54:00,14660,7,,0,0,32.4728223001
14394A294B360,16:30:00,16:30:00,14561,1,,0,0,0
14394A294B360,,,14563,2,,0,0,0.510460938435
14394A294B360,16:34:00,16:34:00,14562,3,,0,0,0.772829731721
14394A294B360,,,14560,4,,0,0,1.26484635142
14394A294B360,16:47:00,16:47:00,14564,5,,0,0,3.23719868393
