stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
16281,"18","Fred Meyer at Boones Ferry Rd","",45.3009202345446,-122.771337032318,204,,0,,
14523,"35","Wilsonville Rd at Brown Rd","",45.30212622,-122.7860903,204,,0,,
14524,"36","Wilsonville Rd at Montebello Dr","",45.30280712,-122.7809278,204,,0,,
14653,"173","Wilsonville Rd at Kinsman Rd","",45.30282517,-122.77673,204,,0,,
14520,"32","Wilsonville Rd at Willamette Wy East","",45.29901133,-122.7920352,204,,0,,
14516,"28","Wilsonville Rd at Boones Ferry School","",45.29928731,-122.7931055,204,,0,,
14512,"24","Wilsonville Rd at Montebello Dr","",45.3030211,-122.7820154,204,,0,,
14513,"25","Wilsonville Rd at Brown Rd","",45.30213822,-122.7865758,204,,0,,
14514,"26","Wilsonville Rd at Guiss Wy","",45.30094423,-122.7887772,204,,0,,
14515,"27","Wilsonville Rd at Wood Middle School","",45.29997381,-122.7906158,204,,0,,
14656,"176","Wilsonville Rd at Kinsman Rd","",45.30305635,-122.777034,204,,0,,
14655,"175","9415 Wilsonville Rd at Boones Ferry Rd","",45.30304348,-122.7740223,204,,0,,
14507,"17","Boones Ferry Rd at Bailey St","",45.29961868,-122.7737296,204,,0,,
14506,"16","Boones Ferry Rd Between 4th & 5th","",45.29726538,-122.7744678,204,,0,,
14505,"15","5th St at Magnolia Ave","",45.29788236,-122.7732886,204,,0,,
14504,"14","Boones Ferry Rd at Bailey St","",45.29928464,-122.7740206,204,,0,,
14503,"13","Boones Ferry Rd at Lowries Market","",45.30146175,-122.7733436,204,,0,,
14502,"12","W. Towncenter Lp at Main St","",45.30189492,-122.7656512,204,,0,,
14501,"11","Park Place at Sherry's","",45.30513738,-122.765363,204,,0,,
14491,"1","Wilsonville Rd at Ashland (Boulder Creek)","",45.31273386,-122.7464767,204,,0,,
14537,"50","Wilsonville Rd at Meadows Pkwy","",45.3099995,-122.74816,204,,0,,
14500,"10","Parkway Ct at Courtside Dr","",45.30587616,-122.7642892,204,,0,,
14499,"9","Parkway Ct at Towncenter Lp","",45.30864508,-122.7644772,204,,0,,
14498,"8","29040 Towncenter Lp ","",45.30954701,-122.7624312,204,,0,,
14497,"7","E. Towncenter Lp at Vlahos Dr","",45.30923962,-122.7610301,204,,0,,
14496,"6","29350 E. Towncenter Lp ","",45.30735096,-122.7593163,204,,0,,
14495,"5","E Towncenter Lp at Civic Center Drive","",45.30412645,-122.7595987,204,,0,,
14494,"4","Wilsonville Rd at Rose Ln","",45.30328011,-122.7537936,204,,0,,
14493,"3","Wilsonville Rd at Meadows Lp","",45.30717059,-122.7494147,204,,0,,
