agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
93,411,"11","McMinnville - West Salem/Cherriots","",3,http://www.yctransitarea.org/schedules.html,,
93,412,"22","McMinnville-Sheridan-Willamina-Grand Ronde ","",3,http://www.yctransitarea.org/schedules.html,,
93,413,"33","McMinnville - Hillsboro/MAX Link","",3,http://www.yctransitarea.org/mcminnville.html,,
93,414,"44","99w/Tigard","",3,http://www.yctransitarea.org/mcminnville.html,,
93,622,"24S","Mcminnville - Grand Ronde","",3,http://www.yctransitarea.org/pdf/wvall.pdf,,
93,509,"1","McMinnville North-South Express ","",3,http://www.yctransitarea.org/mcminnville.html,,
93,510,"2","McMinnville East-West Express ","",3,http://www.yctransitarea.org/mcminnville.html,,
93,511,"3","McMinnville City Loop","",3,http://www.yctransitarea.org/schedules.html,,
93,512,"4","Newberg South/Dundee","",3,http://www.yctransitarea.org/pdf/newberg.pdf,,
93,513,"5","Newberg North/Foothills Drive  ","",3,http://www.yctransitarea.org/schedules.html,,
93,514,"6A","Newberg/Springbrook","",3,http://www.yctransitarea.org/schedules.html,,
93,515,"7","Newberg East/Chehalem  Glenn","",3,http://www.yctransitarea.org/schedules.html,,
93,523,"123","McMinnville Saturday Route","",3,http://www.yctransitarea.org/mcminnville.html,,
93,619,"45","Express","",3,http://www.yctransitarea.org/pdf/99w.pdf,,
93,620,"46S","Link","",3,http://www.yctransitarea.org/pdf/99w.pdf,,
93,621,"6B","Newberg/Springbrook","",3,http://www.yctransitarea.org/pdf/newberg.pdf,,
93,623,"24S","Mcminnville - Grand Ronde","",3,http://www.yctransitarea.org/pdf/wvall.pdf,,
