trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
17183A262B317,07:10:00,07:10:00,16130,1,,0,0,0
17183A262B317,07:15:00,07:15:00,16162,2,,0,0,0.633317929974
17183A262B317,07:20:00,07:20:00,16131,3,,0,0,2.56151506511
17183A262B317,07:25:00,07:25:00,16416,4,,0,0,4.21610891502
17183A262B317,07:30:00,07:30:00,16130,5,,0,0,4.91053044334
17183A262B317,07:35:00,07:35:00,16133,6,,0,0,5.87338052722
17183A262B317,07:40:00,07:40:00,16417,7,,0,0,6.79930945571
17183A262B317,07:45:00,07:45:00,16135,8,,0,0,7.81416085909
17183A262B317,07:50:00,07:50:00,16130,9,,0,0,8.87818017978
17184A262B317,06:50:00,06:50:00,16130,1,,0,0,0
17184A262B317,06:55:00,06:55:00,16163,2,,0,0,1.94642133024
17184A262B317,07:00:00,07:00:00,16138,3,,0,0,5.81586461986
17184A262B317,07:05:00,07:05:00,16164,4,,0,0,9.51921403956
17184A262B317,07:10:00,07:10:00,16130,5,,0,0,11.2908410749
17184A262B317,07:15:00,07:15:00,16137,6,,0,0,12.4041829137
17184A262B317,07:20:00,07:20:00,16169,7,,0,0,13.2156085316
17184A262B317,07:25:00,07:25:00,16139,8,,0,0,14.0883622012
17184A262B317,07:30:00,07:30:00,16130,9,,0,0,15.1403715493
17185A262B317,08:00:00,08:00:00,16130,1,,0,0,0
17185A262B317,08:05:00,08:05:00,16140,2,,0,0,0.782523607705
17185A262B317,08:10:00,08:10:00,16141,3,,0,0,1.96157687386
17185A262B317,08:15:00,08:15:00,16142,4,,0,0,2.91958685037
17185A262B317,08:20:00,08:20:00,16130,5,,0,0,4.74288881016
17185A262B317,08:25:00,08:25:00,16143,6,,0,0,6.37774557311
17185A262B317,08:30:00,08:30:00,16144,7,,0,0,7.61954201312
17185A262B317,08:35:00,08:35:00,16145,8,,0,0,8.62310131729
17185A262B317,08:40:00,08:40:00,16130,9,,0,0,9.65859655484
17186A263B317,10:00:00,10:00:00,16130,1,,0,0,0
17186A263B317,10:05:00,10:05:00,16168,2,,0,0,0.447297908494
17186A263B317,10:10:00,10:10:00,16169,3,,0,0,1.92476285869
17186A263B317,10:15:00,10:15:00,16170,4,,0,0,2.91608380272
17186A263B317,10:20:00,10:20:00,16134,5,,0,0,4.13075364461
17186A263B317,10:25:00,10:25:00,16226,6,,0,0,6.32069308718
17186A263B317,10:30:00,10:30:00,16130,7,,0,0,7.10598029622
17187A263B317,10:30:00,10:30:00,16130,1,,0,0,0
17187A263B317,10:33:00,10:33:00,16162,2,,0,0,0.633317929974
17187A263B317,10:41:00,10:41:00,16167,3,,0,0,2.32594712266
17187A263B317,10:43:00,10:43:00,16142,4,,0,0,3.45265319182
17187A263B317,10:45:00,10:45:00,16131,5,,0,0,3.89255133325
17187A263B317,10:51:00,10:51:00,16225,6,,0,0,4.69259074291
17187A263B317,10:55:00,10:55:00,16140,7,,0,0,5.29663768286
17187A263B317,11:00:00,11:00:00,16130,8,,0,0,6.07916129057
17187A263B317,11:15:00,11:15:00,16163,9,,0,0,8.0255826208
17187A263B317,11:30:00,11:30:00,16130,10,,0,0,9.96050833001
17187A263B317,11:35:00,11:35:00,16168,11,,0,0,10.4078062385
17187A263B317,11:40:00,11:40:00,16169,12,,0,0,11.8852711887
17187A263B317,11:45:00,11:45:00,16170,13,,0,0,12.8765921327
17187A263B317,11:50:00,11:50:00,16134,14,,0,0,14.0912619746
17187A263B317,11:55:00,11:55:00,16226,15,,0,0,16.2812014172
17187A263B317,12:00:00,12:00:00,16130,16,,0,0,17.0664886262
17188A262B317,05:30:00,05:30:00,15306,1,,0,0,0
17188A262B317,05:35:00,05:35:00,15307,2,,0,0,1.83396937844
17188A262B317,05:50:00,05:50:00,15308,3,,0,0,8.41503974758
17188A262B317,06:00:00,06:00:00,16102,4,,0,0,13.0994424286
17188A262B317,06:16:00,06:16:00,16134,5,,0,0,25.3108867962
